path,label
A,Air Track
A-C,Civil Aircraft
A-C-F,Civil Fixed Wing Aircraft
A-C-F-q,Civil Fixed Wing Drone (RPV/UAV)
A-C-H,Civil Rotary Wing Aircraft
A-C-L,Civil Lighter than Air
A-M,Military Aircraft
A-M-F,Military Fixed Wing Aircraft
A-M-F-A,Fixed Wing Attack/Strike
A-M-F-B,Fixed Wing Bomber
A-M-F-C,Fixed Wing Cargo Airlift (Transport)
A-M-F-C-H,Fixed Wing Cargo Airlift (Heavy)
A-M-F-C-L,Fixed Wing Cargo Airlift (Light)
A-M-F-C-M,Fixed Wing Cargo Airlift (Medium)
A-M-F-D,Fixed Wing Airborne Command Post (C2)
A-M-F-F,Fixed Wing Fighter
A-M-F-F-I,Fixed Wing Interceptor
A-M-F-H,Fixed Wing Combat Search and Rescue (CSAR)
A-M-F-J,Fixed Wing Electronic Countermeasures (ECM/Jammer)
A-M-F-K,Fixed Wing Tanker
A-M-F-L,Fixed Wing VSTOL
A-M-F-M,Fixed Wing Special Operations Forces (SOF)
A-M-F-O,Fixed Wing Medevac
A-M-F-P,Fixed Wing Patrol
A-M-F-P-M,Fixed Wing Mine Countermeasures
A-M-F-P-N,Fixed Wing Antisurface Warfare (ASUW)
A-M-F-Q,Fixed Wing Drone (RPV/UAV)
A-M-F-R,Fixed Wing Reconnaissance
A-M-F-R-W,Fixed Wing Airborne Early Warning (AEW)
A-M-F-R-X,Fixed Wing Photographic Reconnaissance
A-M-F-R-Z,Fixed Wing Electronic Surveillance Measures
A-M-F-S,Fixed Wing Antisubmarine Warfare (ASW) Carrier Based
A-M-F-T,Fixed Wing Trainer
A-M-F-U,Fixed Wing Utility
A-M-F-U-H,Fixed Wing Utility (Heavy)
A-M-F-U-L,Fixed Wing Utility (Light)
A-M-F-U-M,Fixed Wing Utility (Medium)
A-M-F-Y,Fixed Wing Communications (C3I)
A-M-F-g,Fixed Wing Gunship
A-M-H,Military Rotary Wing Aircraft
A-M-H-A,Rotary Wing Attack
A-M-H-C,Rotary Wing Cargo Airlift (Transport)
A-M-H-C-H,Rotary Wing Cargo Airlift (Heavy)
A-M-H-C-L,Rotary Wing Cargo Airlift (Light)
A-M-H-C-M,Rotary Wing Cargo Airlift (Medium)
A-M-H-D,Rotary Wing Airborne Command Post (C2)
A-M-H-H,Rotary Wing Combat Search and Rescue (CSAR)
A-M-H-I,Rotary Wing Mine Countermeasures
A-M-H-J,Rotary Wing Electronic Countermeasures (ECM/Jammer)
A-M-H-K,Rotary Wing Tanker
A-M-H-M,Rotary Wing Special Operations Forces (SOF)
A-M-H-O,Rotary Wing Medevac
A-M-H-Q,Rotary Wing Drone (RPV/UAV)
A-M-H-R,Rotary Wing Reconnaissance
A-M-H-S,Rotary Wing Antisubmarine Warfare (MPA)
A-M-H-T,Rotary Wing Trainer
A-M-H-U,Rotary Wing Utility
A-M-H-U-H,Rotary Wing Utility (Heavy)
A-M-H-U-L,Rotary Wing Utility (Light)
A-M-H-U-M,Rotary Wing Utility (Medium)
A-M-L,Military Lighter than Air
A-W,Air Weapon
A-W-D,Air Decoy
A-W-M,Missile In Flight
A-W-M-A,Air Launched Missile
A-W-M-A-A,Air to Air Missile (AAM)
A-W-M-A-S,Air to Surface Missile (ASM)
A-W-M-L,Land Attack Missile
A-W-M-S,Surface/Land Launched Missile
A-W-M-S-A,Surface to Air Missile (SAM)
A-W-M-S-A-f,SAM (Fixed Site)
A-W-M-S-A-i,SAM (Manpad)
A-W-M-S-A-m,SAM (Mobile)
A-W-M-S-S,Surface to Surface Missile (SSM)
A-W-M-U,Subsurface to Surface Missile (S/SSM)
G,Ground Track
G-E,Ground Equipment
G-E-S,Sensor
G-E-S-E,Emplaced Sensor
G-E-S-R,Radar
G-E-V,Ground Vehicle
G-E-V-A,Armor (Gun)
G-E-V-A-A,Armor (APC)
G-E-V-A-A-R,Armored Personnel Carrier Recovery
G-E-V-A-C,C2V/ACV
G-E-V-A-I,Armored Infantry
G-E-V-A-L,Light Armored Vehicle
G-E-V-A-S,Combat Service Support Vehicle
G-E-V-A-T,Tank
G-E-V-A-T-H,Tank Heavy
G-E-V-A-T-H-R,Tank Heavy Recovery
G-E-V-A-T-L,Tank Light
G-E-V-A-T-L-R,Tank Light Recovery
G-E-V-A-T-M,Tank Medium
G-E-V-A-T-M-R,Tank Medium Recovery
G-E-V-C,Civilian Vehicle
G-E-V-E,Engineer Vehicle
G-E-V-E-A,Mine Clearing Vehicle
G-E-V-E-A-A,Armored Mounted Mine Clearing Vehicle
G-E-V-E-A-T,Trailer Mounted Mine Clearing Vehicle
G-E-V-E-B,Bridging Vehicle
G-E-V-E-C,Construction Vehicle
G-E-V-E-D,Dozer
G-E-V-E-E,Earthmover
G-E-V-E-M,Mine Laying Vehicle
G-E-V-E-M-L,Truck Mounted with Volcano
G-E-V-E-M-V,Armored Carrier with Volcano
G-E-V-T,Locomotive
G-E-V-U,Utility Vehicle
G-E-V-U-B,Bus
G-E-V-U-L,Limited Cross Country Truck
G-E-V-U-R,Water Craft
G-E-V-U-R-l,Boat (Large)
G-E-V-U-R-m,Boat (Med)
G-E-V-U-R-s,Boat (Small)
G-E-V-U-S,Semi
G-E-V-U-X,Cross Country Truck
G-E-V-m,Ambulance
G-E-W,Weapon
G-E-W-A,Air Defense Gun
G-E-W-A-H,AAA (Heavy)
G-E-W-A-L,AAA (Light)
G-E-W-A-M,AAA (Medium)
G-E-W-D,Direct Fire Gun
G-E-W-D-H,Direct Fire Gun Heavy
G-E-W-D-H-S,Direct Fire Gun Heavy Self Propelled
G-E-W-D-L,Direct Fire Gun Light
G-E-W-D-L-S,Direct Fire Gun Light Self Propelled
G-E-W-D-M,Direct Fire Gun Medium
G-E-W-D-M-S,Direct Fire Gun Medium Self Propelled
G-E-W-G,Anti Tank Gun
G-E-W-G-H,Anti Tank Gun Heavy
G-E-W-G-L,Anti Tank Gun Light
G-E-W-G-M,Anti Tank Gun Medium
G-E-W-G-R,Anti Tank Gun Recoilless
G-E-W-H,Howitzer
G-E-W-H-H,Howitzer Heavy
G-E-W-H-H-S,Howitzer Heavy Self Propelled
G-E-W-H-L,Howitzer Light
G-E-W-H-L-S,Howitzer Light Self Propelled
G-E-W-H-M,Howitzer Medium
G-E-W-H-M-S,Howitzer Medium Self Propelled
G-E-W-M,Missile Launcher
G-E-W-M-A,Air Defense (AD) Missile Launcher
G-E-W-M-A-I,Intermediate Range AD Missile Launcher
G-E-W-M-A-L,Long Range AD Missile Launcher
G-E-W-M-A-S,Short Range AD Missile Launcher
G-E-W-M-A-T,AD Missile Launcher Theater
G-E-W-M-S,Surf Surf (SS) Missile Launcher
G-E-W-M-S-I,Intermediate Range SS Missile Launcher
G-E-W-M-S-L,Long Range SS Missile Launcher
G-E-W-M-S-S,Short Range SS Missile Launcher
G-E-W-M-T,Missile Launcher Antitank (AT)
G-E-W-M-T-H,Missile Launcher AT Heavy
G-E-W-M-T-L,Missile Launcher AT Light
G-E-W-M-T-M,Missile Launcher AT Medium
G-E-W-O,Mortar
G-E-W-O-H,Mortar Heavy
G-E-W-O-L,Mortar Light
G-E-W-O-M,Mortar Medium
G-E-W-R,Rifle/Automatic Weapon
G-E-W-R-H,Heavy Machine Gun
G-E-W-R-L,Light Machine Gun
G-E-W-R-R,Rifle
G-E-W-S,Single Rocket Launcher
G-E-W-S-H,Single Rocket Launcher Heavy
G-E-W-S-L,Single Rocket Launcher Light
G-E-W-S-M,Single Rocket Launcher Medium
G-E-W-T,Anti Tank Rocket Launcher
G-E-W-T-H,Anti Tank Rocket Launcher Heavy
G-E-W-T-L,Anti Tank Rocket Launcher Light
G-E-W-T-M,Anti Tank Rocket Launcher Medium
G-E-W-X,Multiple Rocket Launcher
G-E-W-X-H,Multiple Rocket Launcher Heavy
G-E-W-X-L,Multiple Rocket Launcher Light
G-E-W-X-M,Multiple Rocket Launcher Medium
G-E-W-Z,Grenade Launcher
G-E-W-Z-H,Grenade Launcher Heavy
G-E-W-Z-L,Grenade Launcher Light
G-E-W-Z-M,Grenade Launcher Medium
G-E-X,Special Equipment
G-E-X-F,Flame Thrower
G-E-X-L,Laser
G-E-X-M,Land Mines
G-E-X-M-C,Claymore
G-E-X-M-L,Less than Lethal
G-E-X-N,NBC Equipment
G-I,Ground Installation
G-I-B,Military Base/Facility
G-I-B-A,Airport/Airbase
G-I-B-N,Seaport/Naval Base
G-I-E,Equipment Manufacture
G-I-E-h,Heavy Equipment Manufacture
G-I-E-l,Light Equipment Manufacture
G-I-E-o,Plant Other
G-I-G,Government Leadership
G-I-M,Military Materiel Facility
G-I-M-A,Aircraft Production/Assembly
G-I-M-C,Chemical/Biological Warfare Production
G-I-M-E,Ammunition and Explosives Production
G-I-M-F,Nuclear Energy
G-I-M-F-A,Atomic Energy Reactor
G-I-M-F-P,Nuclear Material Production
G-I-M-F-P-W,Weapons Grade
G-I-M-F-S,Nuclear Material Storage
G-I-M-G,Armament Production
G-I-M-M,Missile/Space System Production
G-I-M-N,Engineering Equipment Production
G-I-M-N-B,Bridge Manufacture
G-I-M-N-B-l,Bridge (Large)
G-I-M-N-B-m,Bridge (Med)
G-I-M-N-B-s,Bridge (Small)
G-I-M-N-c,Canal Engineering
G-I-M-S,Ship Construction
G-I-M-V,Military Vehicle Production
G-I-P,Processing Facility
G-I-P-D,Decon
G-I-R,Raw Material Production/Storage
G-I-R-M,Mine
G-I-R-N,NBC
G-I-R-N-B,Biological Facility
G-I-R-N-C,Chemical Facility
G-I-R-N-N,Nuclear Facility
G-I-R-P,Petroleum/Gas/Oil
G-I-R-P-r,Refinery
G-I-T,Transport Facility
G-I-T-a,Airport
G-I-T-hb,Helibase
G-I-T-hs,Helispot
G-I-T-l,Land Port
G-I-T-pg,Parking Garage
G-I-T-r,Railroad
G-I-T-s,Seaport
G-I-U,"Service, Research, Utility Facility"
G-I-U-E,Electric Power Facility
G-I-U-E-D,Dam
G-I-U-E-F,Fossil Fuel
G-I-U-E-N,Nuclear Plant
G-I-U-E-c,Coal Power Plant
G-I-U-E-h,Hydroelectric Power Plant
G-I-U-E-o,Other Power
G-I-U-E-ps,Power Substation
G-I-U-P,Public Water Services
G-I-U-R,Technological Research Facility
G-I-U-T,Telecommunications Facility
G-I-U-T-com,Communications
G-I-U-T-com-af,Antenna Farm
G-I-U-T-com-sat,Satellite Communications
G-I-U-T-com-tow,Tower
G-I-U-T-r,Radio
G-I-U-T-r-s,Radio Station
G-I-U-T-tp,Telephone
G-I-U-T-tp-ts,Telephone Switching
G-I-U-T-tv,Television
G-I-U-T-tv-c,Cable
G-I-U-T-tv-s,Television Station
G-I-X,Medical Facility
G-I-X-H,Hospital
G-I-X-hcf,Hospital Care Facility
G-I-c,Civilian
G-I-c-b,Bridge
G-I-c-bar,Fence/Wall/Barrier
G-I-c-can,Canal
G-I-c-can-l,Canal Lock
G-I-c-frm,Farm
G-I-c-l,Levy
