ident,type,name,municipality,iso_country,iso_region,iata_code,elevation_ft,lat,lon
AAXX,small_airport,Aeródromo de Punto Rothera,Rothera Point,AQ,AQ-U-A,,,-67.5669,-68.1270
AGAF,small_airport,Afutara Aerodrome,Bila,SB,SB-ML,AFT,23,-9.1914,160.9486
AGAR,small_airport,Ulawa Airport,Arona,SB,SB-MK,RNA,40,-9.8605,161.9795
AGAT,small_airport,Uru Harbour Airport,Atoifi,SB,SB-ML,ATD,,-8.8733,161.0110
AGBA,small_airport,Barakoma Airport,Barakoma,SB,SB-WE,VEV,,-7.9128,156.7060
AGBT,small_airport,Batuna Aerodrome,Batuna Mission Station,SB,SB-WE,BPF,24,-8.5620,158.1193
AGEV,small_airport,Geva Airport,Liangia,SB,SB-WE,GEF,,-7.5758,156.5970
AGGA,small_airport,Gwaunaru'u Airport,Auki,SB,SB-ML,AKS,5,-8.7026,160.6820
AGGB,small_airport,Bellona/Anua Airport,Anua,SB,SB-RB,BNY,60,-11.3022,159.7983
AGGC,small_airport,Choiseul Bay Airport,Choiseul Bay,SB,SB-CH,CHY,,-6.7119,156.3961
AGGE,small_airport,Ballalae Airport,Ballalae,SB,SB-WE,BAS,5,-6.9907,155.8867
AGGF,small_airport,Fera/Maringe Airport,Fera Island,SB,SB-IS,FRE,,-8.1075,159.5770
AGGH,large_airport,Honiara International Airport,Honiara,SB,SB-GU,HIR,28,-9.4280,160.0550
AGGI,small_airport,Babanakira Airport,Mbambanakira,SB,SB-GU,MBU,,-9.7475,159.8390
AGGJ,small_airport,Avu Avu Airport,Avu Avu,SB,SB-GU,AVU,25,-9.8683,160.4106
AGGK,small_airport,Ngorangora Airport,Kirakira,SB,SB-MK,IRA,54,-10.4497,161.8980
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB,SB-TE,SCZ,18,-10.7203,165.7950
AGGM,medium_airport,Munda Airport,Munda,SB,SB-WE,MUA,10,-8.3280,157.2630
AGGN,small_airport,Nusatupe Airport,Gizo,SB,SB-WE,GZO,13,-8.0978,156.8640
AGGO,small_airport,Mono Airport,Stirling Island,SB,SB-WE,MNY,,-7.4169,155.5650
AGGP,small_airport,Parasi Airport,Parasi,SB,SB-ML,PRS,,-9.6417,161.4250
AGGR,small_airport,Rennell/Tingoa Airport,Rennell Island,SB,SB-RB,RNL,,-11.5500,160.0628
AGGS,small_airport,Sege Airport,Sege,SB,SB-WE,EGM,,-8.5789,157.8760
AGGT,small_airport,Santa Ana Airport,Santa Ana Island,SB,SB-MK,NNB,3,-10.8480,162.4541
AGGU,small_airport,Marau Airport,Marau,SB,SB-GU,RUS,,-9.8617,160.8250
AGGV,small_airport,Suavanao Airport,Suavanao,SB,SB-IS,VAO,,-7.5856,158.7310
AGGY,small_airport,Yandina Airport,Yandina,SB,SB-CE,XYA,60,-9.0928,159.2184
AGIN,heliport,Isuna Heliport,Veravaulo,SB,SB-GU,,26,-9.8058,159.9627
AGKG,small_airport,Kaghau Airport,Kagau Island,SB,SB-CH,KGE,30,-7.3305,157.5850
AGKU,small_airport,Kukudu Airport,Kolombangara Island,SB,SB-WE,KUE,32,-8.0262,156.9478
AGKW,small_airport,Kwailabesi Airport,Kwailabesi,SB,SB-ML,KWS,52,-8.3605,160.7751
AGLM,small_airport,Lomlom Airport,Lomlom,SB,SB-TE,LLM,55,-10.2968,166.3273
AGNA,small_airport,Nana Airport,Star Harbor,SB,SB-MK,NAZ,60,-10.6758,162.2049
AGOB,small_airport,Manaoba Airport,Manaoba,SB,SB-ML,MHM,14,-8.3250,160.8005
AGOK,small_airport,Gatokae Aerodrome,Gatokae,SB,SB-WE,GTA,70,-8.7384,158.2028
AGRC,small_airport,Ringi Cove Airport,Ringi Cove,SB,SB-WE,RIN,,-8.1264,157.1430
AGRM,small_airport,Ramata Airport,Ramata,SB,SB-WE,RBV,,-8.1681,157.6430
AGTI,heliport,Tulaghi Heliport,Tulaghi Island,SB,SB-CE,TLG,3,-9.1080,160.1492
ANYN,medium_airport,Nauru International Airport,Yaren District,NR,NR-14,INU,22,-0.5475,166.9190
AQBC,medium_airport,Boulder Clay Runway,Zucchelli Station,AQ,AQ-U-A,,672,-74.7394,164.0354
ATUA,small_airport,Utai Airstrip,Utai,PG,PG-SAN,,707,-3.3860,141.5868
AYAA,small_airport,Ama Airport,,PG,PG-ESW,AMF,145,-4.1011,141.6700
AYAE,small_airport,Mount Aue Airport,Aue,PG,PG-JWK,UAE,4250,-6.2300,144.6642
AYAF,small_airport,Afore Airstrip,Afore,PG,PG-NPP,AFR,2500,-9.1387,148.3907
AYAG,small_airport,Agaun Airport,Agaun,PG,PG-MBA,AUP,3200,-9.9277,149.3900
AYAI,small_airport,Aitape Airport,Aitape,PG,PG-SAN,ATP,10,-3.1436,142.3468
AYAK,small_airport,Aiambak Airport,Aiambak,PG,PG-WPD,AIH,90,-7.3428,141.2675
AYAM,small_airport,Amanab Airport,Amanab,PG,PG-SAN,AMU,1307,-3.5860,141.2143
AYAN,small_airport,Andakombe Airport,Andekombe,PG,PG-EHG,ADC,3600,-7.1372,145.7447
AYAO,small_airport,Aiome Airport,Aiome,PG,PG-MPM,AIE,350,-5.1457,144.7307
AYAQ,small_airport,Kompiam Airport,,PG,PG-EPW,KPM,5100,-5.3817,143.9247
AYAT,small_airport,Ambunti Airport,Ambunti,PG,PG-ESW,AUJ,50,-4.2157,142.8232
AYAU,small_airport,Arou Airstrip,Arou,PG,PG-HLA,,4830,-5.4951,142.5137
AYAW,small_airport,Awaba Airport,Awaba,PG,PG-WPD,AWB,32,-8.0134,142.7521
AYAX,small_airport,Aseki Airport,Aseki,PG,PG-MPL,AEK,4106,-7.3508,146.1940
AYAY,small_airport,Aiyura Airport,Aiyura Valley,PG,PG-EHG,AYU,5355,-6.3381,145.9042
AYBA,medium_airport,Baimuru Airport,Baimuru,PG,PG-GPK,VMU,27,-7.4969,144.8199
AYBB,small_airport,Bak Airstrip,Bak,PG,PG-SAN,,5440,-5.2685,142.0970
AYBC,small_airport,Bambu Airport,Bambu,PG,PG-MPM,BCP,6790,-5.8636,146.4925
AYBD,small_airport,Bodinumu Airport,Bodinumu,PG,PG-CPM,BNM,3700,-9.1078,147.6667
AYBF,small_airport,Bamu Airport,Bamu,PG,PG-WPD,BMZ,50,-7.8485,143.2433
AYBG,small_airport,Baindoung Airport,,PG,PG-MPL,BDZ,4400,-6.3472,146.9422
AYBH,small_airport,Bensbach Airport,Bensbach,PG,PG-WPD,BSP,30,-8.8581,141.2594
AYBI,small_airport,Bewani Airport,Bewani,PG,PG-SAN,BWP,550,-3.0217,141.1653
AYBK,medium_airport,Buka Airport,Buka Island,PG,PG-NSB,BUA,11,-5.4223,154.6730
AYBL,small_airport,Bialla Airport,"Bialla, Matalilu, Ewase",PG,PG-WBK,BAA,51,-5.3306,151.0080
AYBM,medium_airport,Balimo Airport,Balimo,PG,PG-WPD,OPU,51,-8.0500,142.9330
AYBO,small_airport,Bomai Airport,Bomai,PG,PG-CPK,BMH,3300,-6.3732,144.6370
AYBP,small_airport,Bapi Airstrip,Bapi,PG,PG-MPL,BPD,2930,-7.7436,147.0206
AYBQ,small_airport,Biangabip Airport,Biangabip,PG,PG-WPD,BPK,1069,-5.5264,141.7446
AYBR,small_airport,Biaru Airport,Biaru,PG,PG-MPL,BRP,4900,-7.6693,146.7594
AYBS,small_airport,Begesin Airstrip,Begesin,PG,PG-MPM,,980,-5.3889,145.4472
AYBT,small_airport,Batri Airstrip,Batri,PG,PG-SHM,,4510,-6.5522,143.9441
AYBU,small_airport,Bulolo Airport,Bulolo,PG,PG-MPL,BUL,2240,-7.2163,146.6495
AYBW,small_airport,Blackwara Airport,,PG,PG-SAN,,58,-2.6182,141.0920
AYBX,small_airport,Wowobo Airstrip,Wowobo,PG,PG-GPK,,74,-7.3405,144.5477
AYBY,small_airport,Wuyabo Airstrip,Wuyabo,PG,PG-EHG,,6400,-6.8378,145.8732
AYBZ,small_airport,Biniguni Airport,Biniguni,PG,PG-MBA,XBN,215,-9.6425,149.3039
AYCB,small_airport,Chungribu Airport,Chungribu,PG,PG-MPM,CVB,108,-4.8066,144.7150
AYCG,small_airport,Cape Gloucester Airport,Cape Gloucester,PG,PG-WBK,CGC,78,-5.4552,148.4223
AYCH,medium_airport,Chimbu Airport,Kundiawa,PG,PG-CPK,CMU,4974,-6.0243,144.9710
AYCN,small_airport,Changriwa Airstrip,Changriwa,PG,PG-ESW,,100,-4.3287,143.7406
AYCS,small_airport,China Strait Airstrip,Samarai Island,PG,PG-MBA,SQT,10,-10.5628,150.6907
AYDB,small_airport,Debepare Airport,Debepare,PG,PG-WPD,DBP,360,-6.3086,141.9056
AYDD,small_airport,Dobu Airstrip,Dobu,PG,PG-CPK,,3115,-6.6305,144.6383
AYDE,small_airport,Derim Airport,Derim,PG,PG-MPL,DER,4850,-6.1447,147.1072
AYDI,small_airport,Bundi Airport,Bundi,PG,PG-MPM,BNT,4400,-5.7422,145.2275
AYDK,small_airport,Munduku Airport,Munduku,PG,PG-ESW,MDM,100,-4.6204,143.4516
AYDL,small_airport,Kondobol Airport,Kondobol,PG,PG-WPD,KPF,132,-8.5336,142.5049
AYDN,small_airport,Dinangat Airport,Dinangat,PG,PG-MPL,DNU,5309,-6.1546,146.6772
AYDO,small_airport,Doini Airport,Castori Islets,PG,PG-MBA,DOI,31,-10.7009,150.7218
