ident,type,description,mhz
AGGH,AFIS,INFO,118.100
AGGH,INFO,INFO,342.500
AGGM,AFIS,INFO,118.100
AGGM,RDO,RDO,118.100
ANYN,A/G,Nauru Radio,118.100
ANYN,INFO,Nauru Radio,126.500
AYBK,RDO,LAE RDO,127.100
AYDU,FSS,MORESBY CNTR,124.900
AYGA,TWR,TWR,118.700
AYGN,FSS,MORESBY CNTR,124.100
AYHK,FSS,NADZAB CNTR,127.100
AYKM,FSS,MORESBY,120.900
AYKV,FSS,LAE,127.100
AYMD,ATIS,ATIS,127.800
AYMD,FSS,MADANG CNTR,120.100
AYMD,TWR,TWR,118.100
AYMH,ATIS,ATIS,128.400
AYMH,TWR,HAGEN TWR,120.500
AYMO,AWOS,AWIS,129.350
AYMO,FSS,MADANG,120.100
AYNZ,APP,APP,118.600
AYNZ,ATIS,ATIS,128.600
AYNZ,RDO,LAE RDO,120.700
AYNZ,TWR,TWR,121.700
AYPY,APP,JACKSONS APP,125.800
AYPY,ATIS,ATIS,117.000
AYPY,GND,JACKSONS GND,121.700
AYPY,TWR,JACKSONS TWR,118.100
AYTK,FSS,LAE RDO,127.100
AYTK,MISC,MTAF,120.900
AYTK,TWR,TWR,118.200
AYVN,FSS,MADANG FIS,126.700
AYWK,ATIS,ATIS,128.200
AYWK,CTAF,WEWAK TRAFFIC,121.700
AYWK,FSS,MADANG CNTR,126.700
BGBW,AFIS,AFIS,119.100
BGCO,AFIS,AFIS,118.100
BGGH,AFIS,AFIS,119.100
BGNN,HIS,NANORTALIK HIS,118.100
BGNO,ATS,Station Nord,118.100
BGNO,ATS,Station Nord,267.300
BGNS,HIS,NARSAQ HIS,118.100
BGQQ,AFIS,Aerodrome Flight Information Service,118.100
BGSF,A/D,APP/DEP,126.200
BGSF,RDO,RDO,121.300
BGSF,TWR,TWR,118.300
BGSS,AFIS,SISIMIUT AFIS,118.100
BGTL,A/G,EMERG CW FREQUENCY,836.400
BGTL,APP,APP,134.100
BGTL,CLD,CLNC DEL,119.900
BGTL,GND,GND,119.900
BGTL,OPS,BASE OPS,131.100
BGTL,TWR,TWR,126.200
BGUK,AFIS,Upernavik AFIS,118.100
BIAR,ACC,REYKJAVIK ACC,119.700
BIAR,RDR,RADAR,118.700
BIAR,TWR,TWR,118.200
BIBD,ACC,REYKJAVIK ACC,119.700
BIBD,AFIS,INFO,119.100
BIEG,ACC,REYKJAVIK ACC,119.700
BIEG,AFIS,RDO,119.400
BIHN,ACC,REYKJAVIK CON,119.700
BIHN,AFIS,INFO,118.100
BIHU,ACC,REYKJAVIK ACC,119.700
BIHU,AFIS,INFO,118.100
BIIS,ACC,REYKJAVIK ACC,119.700
BIIS,AFIS,INFO,118.800
BIKF,A/G,AIR GND,131.900
BIKF,APP,APP,119.300
BIKF,ATIS,ATIS,128.300
BIKF,DEP,DEP,119.300
BIKF,GND,GND,121.900
BIKF,OPS,BASE OPS,129.000
BIKF,PMSV,PMSV  METRO,125.000
BIKF,TWR,TWR,118.300
BIMS,afis,Tungubakki,118.200
BIPA,ACC,REYKJAVIK ACC,119.700
BIPA,AFIS,RDO,119.100
BIRK,A/D,APP/DEP,119.000
BIRK,ATIS,ATIS,128.100
BIRK,GND,GND,121.700
BIRK,RDO,RDO,126.550
BIRK,TWR,TWR,118.000
BISA,TRFC,Trafic,118.100
BISI,ACC,REYKJAVIK ACC,119.700
BISI,RDO,RDO,118.100
BISS,TRFC,Traffic,119.900
BITN,ACC,REYKJAVIK ACC,119.700
BITN,AFIS,INFO,118.100
BIVM,ACC,REYKJAVIK ACC,119.700
BIVM,DEP,REYKJAVIK DEP,119.000
BIVM,TWR,TWR,118.500
BKPR,APP,APP,118.775
BKPR,GND,GND,118.000
BKPR,RMP,RAMP OPR,136.800
BKPR,TWR,TWR,120.125
CBBC,ATF,"Bella BellaTraffic,  5nm below 3200 ASL",122.800
CBBC,FSS,Wag Fuel,131.050
CBBC,RCO,"Pacific Radio, (FISE)",123.475
CBBC,RCO,"Pacific Radio, bcst",126.700
CRML,CTAF,,122.900
CYAB,MF,,122.100
CYAG,AWOS,AWOS,120.000
CYAG,CNTR,MINNEAPOLIS CNTR,120.900
CYAG,UNIC,ATF/UNICOM,122.800
CYAM,A/G,MF,118.800
CYAM,ATIS,ATIS,133.050
CYAM,CNTR,TORONTO CNTR,132.650
CYAM,GND,GND,121.700
CYAM,RCO,LONDON RDO,122.500
CYAM,TWR,TWR,118.800
CYAU,CNTR,MONCTON CNTR,123.900
CYAU,UNIC,ATF/UNICOM,122.800
CYAV,ATF,ATF,118.500
CYAV,ATIS,ATIS,125.800
CYAV,GND,GND,121.800
CYAV,TWR,TWR,118.500
CYAW,A/D,HALIFAX APP/DEP,119.200
CYAW,ATF,ATF,126.200
CYAW,ATIS,ATIS,129.175
CYAW,GND,GND,121.700
CYAW,OPS,OPS,30.880
CYAW,PMSV,PMSV METRO,34.460
CYAW,TWR,TWR,119.000
CYAX,UNIC,ATF/UNICOM,122.800
CYAY,ATF,ATF,122.300
CYAY,AWOS,AWOS1,118.650
CYAY,CNTR,GANDER CNTR,133.000
CYAY,FSS,RDO,122.300
CYAY,RCO,HALIFAX RDO,123.275
CYAY,RDO,MF,122.300
CYAZ,CNTR,VANCOUVER CNTR,132.900
CYAZ,RCO,PACIFIC RDO,123.250
CYBA,ATF,Banff Traffic,123.300
CYBA,PAL,Edmonton Centre,133.750
CYBA,RDO,Edmonton Radio,123.550
CYBB,ATF,MANDATORY FREQ,122.100
CYBB,RDO,ARPT RDO,122.100
CYBC,A/D,MONTREAL CNTR,134.650
CYBC,RCO,MONT JOLI RDO,118.300
CYBC,RDO,MF MONT JOLI RDO,118.300
CYBD,ATF,ATF,122.800
CYBD,RCO,PACIFIC RDO,126.700
CYBE,ATF,ATF,123.200
CYBF,ATF,ATF,123.200
CYBG,A/D,TRML,127.200
CYBG,AAS,VFR ADVSY,121.200
CYBG,ATIS,ATIS,124.200
CYBG,CLD,CLNC DEL,119.000
CYBG,GND,GND,121.700
CYBG,OPS,WING OPS,26.460
CYBG,PMSV,PMSV,34.460
CYBG,TWR,TWR,126.200
CYBK,FSS,ARCTIC RDO,568.000
CYBK,UNIC,ARPT RDO,122.100
CYBL,A/D,COMOX TRML ARR/DEP,123.700
CYBL,A/G,MF CAMPBELL RDO,122.000
CYBL,ATIS,ATIS,128.550
CYBL,FSS,RDO,122.000
CYBL,MF,MF,122.000
CYBL,RCO,PACIFIC RDO,126.700
CYBR,A/G,MF,122.100
CYBR,CNTR,WINNIPEG CNTR,132.250
CYBR,RCO,WINNIPEG RDO,126.700
CYBR,RDO,RDO,122.100
CYBW,A/G,MF CALGARY  RDO,118.200
CYBW,ATIS,ATIS,127.900
CYBW,GND,GND,121.800
CYBW,RCO,EDMONTON RDO,123.375
CYBW,TWR,TWR,118.200
CYBW,TWR,Tower Inner,120.700
CYBX,RCO,QUEBEC RDO,122.000
CYBX,RDO,MF,122.000
CYCB,ACC,ARTIC RDO,126.700
CYCB,ARTC,ARTIC RDO,126.700
CYCB,ATF,MANDATORY FREQ,122.100
CYCB,OPS,OPS,22.890
CYCB,RDO,ARPT RDO,122.100
CYCC,A/D,BOSTON CNTR,135.250
CYCC,UNIC,ATF/UNICOM,122.775
CYCD,APP,VICTORIA TRML,133.950
CYCD,ATF,ATF,122.100
CYCD,ATIS,Nanaimo ATIS,128.425
CYCD,FSS,RDO,122.100
CYCD,RCO,PACIFIC RDO,126.700
CYCE,UNIC,ATF/UNICOM,122.800
CYCG,ATF,ATF,122.100
CYCG,CNTR,VANCOUVER CNTR,134.200
CYCG,RCO,KAMLOOPS RDO,126.700
CYCG,RDO,RDO,122.100
CYCH,CNTR,MONCTON CNTR,123.700
CYCH,UNIC,ATF/UNICOM,122.700
CYCK,CNTR,CLEVELAND CNTR,132.250
CYCK,UNIC,ATF/UNICOM,123.200
CYCL,A/G,MF,122.200
CYCL,ATF,ATF,122.200
CYCL,CNTR,MONCTON CNTR,134.250
CYCL,RCO,QUEBEC RDO,126.700
CYCN,ATF,ATF,122.800
CYCO,ATF,MANDATORY FREQ,122.100
CYCO,RDO,ARPT RDO,122.100
CYCP,ATF,ATF,123.200
CYCQ,ATF,ATF,123.200
CYCQ,RCO,EDMONTON RDO,126.700
CYCT,ATF,ATF,122.800
CYCW,UNIC,ATF/UNICOM,122.700
CYCY,ATF,MANDATORY FREQ,122.100
CYCY,AWOS,AWOS,124.600
CYCY,RDO,ARPT RDO,122.100
CYCZ,ATF,ATF,123.200
CYCZ,RCO,PACIFIC RDO,126.700
CYDA,ATF,MANDATORY FREQ,122.100
CYDA,RCO,WHITEHORSE RDO,126.700
CYDA,RDO,ARPT RDO,122.100
CYDB,ATF,MANDTORY FREQUENCY,122.100
CYDB,AWOS,AWOS,128.700
CYDB,RCO,WHITEHORSE RDO,126.700
CYDB,RDO,ARPT RDO,122.100
CYDC,ATF,ATF,123.200
CYDC,CNTR,VANCOUVER,135.000
CYDC,RCO,PACIFIC RDO,125.850
CYDF,CNTR,GANDER CNTR,134.600
CYDF,FSS,RDO,122.200
CYDF,RCO,HALIFAX RDO,126.700
CYDF,RDO,MF,122.200
CYDL,ATF,ATF,123.200
CYDL,CNTR,EDMONTON CNTR,134.050
CYDL,RCO,WHITEHORSE RDO,126.700
CYDN,A/G,MF WINNIPEG RDO,122.300
CYDN,AWOS,AWOS,128.600
CYDN,RCO,WINNIPEG RDO,122.300
CYDO,A/D,ROBERVAL RDO,126.700
CYDO,UNIC,ATF/UNICOM,122.700
CYDQ,A/G,MF PEACE RIVER RDO,122.200
CYDQ,RDO,RCO,122.200
CYED,ADVSY,Namao Advisory,118.000
CYED,OPS,408 THS Ops,383.700
CYEE,CNTR,TORONTO CNTR,124.025
CYEE,UNIC,ATF/UNICOM,122.850
CYEG,AAS,TWR VFR ADVSY SVC,118.300
CYEG,APP,APP,118.300
CYEG,ARR,ARR,120.500
CYEG,ATIS,ATIS,128.000
CYEG,CLD,CLNC DEL,124.100
CYEG,DEP,DEP,133.650
CYEG,FSS,RDO,122.500
CYEG,GND,GND,121.700
CYEG,INFO,EXEC FLT CTR,122.950
CYEG,INFO,FLT TECH AVN INC,123.000
CYEG,TWR,TWR,118.300
CYEK,AWOS,AWOS,128.700
CYEK,RDO,ARPT RDO,122.100
CYEL,CNTR,TORONTO CNTR,135.400
CYEL,UNIC,ATF/UNICOM,123.000
CYEM,CNTR,TORONTO CNTR,135.400
CYEM,UNIC,ATF/UNICOM,122.800
CYEN,ATF,ATF,123.000
CYES,UNIC,ATF/UNICOM,122.800
CYET,ATF,ATF,123.200
CYET,AWOS,,128.750
CYEU,UNIC,ATF/UNICOM,122.800
CYEV,ATIS,Lighted hrs,128.500
CYEV,MF,"Inuvik Radio, 5nm below 3200",122.300
CYEV,PAL,Edmonton Control,132.400
CYEV,RADIO,,122.300
CYEV,RCO,Artic Radio (FISE),123.375
CYEV,VDF,,122.300
CYEY,CNTR,MONTREAL CNTR,125.900
CYEY,RDO,QUEBEC RDO,126.700
CYEY,UNIC,ATF/UNICOM,122.800
CYFB,APRON ADV,,122.925
CYFB,FSS,RDO,122.200
CYFB,INTL AIR,Gander Radio,126.900
CYFB,MF,"Iqalluit Radio, 5nm below 3100ASL",122.200
CYFB,PAL,Montreal Control,134.550
CYFB,RCO,"Artic Radio, (FISW)",123.275
CYFB,VDF,,122.200
CYFC,A/G,MF,119.000
CYFC,CNTR,MONCTON CNTR,124.300
CYFC,RDO,RDO,119.000
CYFD,A/D,TORONTO TRML,128.270
