ident,le_ident,he_ident,length_ft,width_ft,surface,lighted,closed,le_lat,le_lon,he_lat,he_lon,le_heading
AGAF,06,24,1501,131,Coral grass,0,0,,,,,
AGAR,11,29,2822,66,Coral,0,0,,,,,
AGAT,13,31,2769,49,Crushed coral,0,0,,,,,
AGBT,17,35,2028,49,grass coral,0,0,,,,,
AGEV,15,33,2297,82,Gravel dirt,0,0,,,,,
AGGA,18,36,3100,,,0,0,,,,,
AGGB,11,29,2187,59,Coral sand,0,0,,,,,
AGGC,13,31,2164,82,Sand grass,0,0,,,,,
AGGE,05,23,5413,,,0,0,,,,,
AGGF,18,36,1854,82,Grass,0,0,,,,,
AGGH,06,24,7218,148,Asphalt,1,0,-9.4317,160.0450,-9.4243,160.0640,68
AGGI,17,35,1953,72,Grass,0,0,,,,,
AGGJ,14,32,2461,98,Grass,0,0,,,,,
AGGK,10,28,4377,,,0,0,,,,,
AGGL,05,23,2999,,Coral,0,0,,,,,
AGGM,07,25,4593,98,Asphalt,0,0,-8.3292,157.2570,-8.3268,157.2690,79
AGGN,14,32,2871,75,,0,0,-8.0951,156.8620,-8.1019,156.8662,
AGGO,04,22,3281,,,0,0,,,,,
AGGP,12,30,2156,79,Coral,0,0,,,,,
AGGR,12,30,2206,66,Coral,0,0,,,,,
AGGS,10,28,3002,,,0,0,,,,,
AGGT,11,29,2655,75,Coral,0,0,,,,,
AGGU,05,23,2001,98,Coral,0,0,,,,,
AGGV,04,22,2789,79,Sand grass,0,0,,,,,
AGKG,14,32,2428,148,Sand/grass,0,0,,,,,
AGKU,13,31,1821,66,Graded earth,0,0,,,,,
AGKW,08,26,1896,66,Limestone/Grass,0,0,,,,,
AGLM,10,28,3477,98,Gravel,0,0,-10.2960,166.3226,-10.2975,166.3318,100
AGNA,12,30,2657,66,Soil and Grass,0,0,,,,,
AGOK,07,25,1936,121,Gravel,0,0,,,,,
AGRC,01,19,2461,75,Coral grass,0,0,,,,,
AGRM,14,32,2500,,,0,0,,,,,
ANYN,12,30,7054,148,Asphalt,1,0,-0.5412,166.9120,-0.5537,166.9260,121
AYAA,15,33,2300,98,Grassed red clay,0,0,,,,,
